,City,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude
0,Abilene,88.34,44,1,20.8,32.45
1,Cooma,47.44,98,92,4.38,-36.24
2,Khingansk,29.53,74,0,2.37,49.12
3,Broken Hill,55.54,98,92,18.37,-31.97
4,Victoria,80.6,88,75,4.94,5.28
5,Bagotville,65.98,100,0,9.42,-28.98
6,Souillac,59.0,72,0,6.93,45.6
7,Marawi,61.84,99,8,1.92,8.0
8,Chara,62.6,93,20,4.7,39.42
9,Micheweni,78.13,99,76,11.21,-4.97
10,Faanui,78.31,100,64,20.83,-16.48
11,Prince Rupert,51.8,40,1,4.7,54.32
12,Igrim,44.47,93,80,5.61,63.19
13,Hobart,41.0,80,20,10.29,-42.88
14,Saint-Philippe,53.6,81,90,3.36,45.36
15,Pangnirtung,30.2,54,90,10.29,66.15
16,Briceno,69.13,94,68,2.15,7.11
17,Ballarat,46.81,82,88,12.44,-37.56
18,Sao Joao da Barra,77.0,78,0,20.8,-21.64
19,Shitanjing,30.43,79,0,2.15,39.23
20,Bubaque,80.6,88,20,3.36,11.28
21,Hambantota,77.86,100,88,7.4,6.12
22,Norman Wells,33.8,55,75,13.87,65.28
23,Touros,79.03,79,8,15.23,-5.2
24,Cape Town,57.2,67,0,11.41,-33.93
25,Colesberg,45.37,47,0,12.21,-30.72
26,Dourbali,75.16,80,0,3.15,11.81
27,Tahe,38.44,78,0,4.16,52.34
28,Vaitape,77.68,100,44,22.28,-16.52
29,Necochea,56.8,50,0,13.89,-38.55
30,San Cristobal,71.6,40,40,11.41,-0.39
31,Koutiala,78.85,77,0,2.71,12.39
32,Port Hardy,50.0,61,75,17.22,50.7
33,Machilipatnam,77.23,89,0,3.6,16.18
34,Kilindoni,77.86,100,20,9.53,-7.91
35,Kaeo,58.51,82,92,8.41,-35.1
36,Chicama,66.2,82,40,10.29,-7.84
37,Mange,77.5,95,88,5.95,8.93
38,Beloha,63.46,91,0,5.06,-25.17
39,Camacha,69.8,77,20,3.36,33.08
40,Rafaela,72.64,32,0,6.73,-31.25
41,Richards Bay,58.96,100,100,14.79,-28.77
42,Barcelos,62.6,55,0,2.15,41.53
43,Tuatapere,52.3,91,76,20.15,-46.13
44,Ternate,77.0,100,75,3.36,14.29
45,Zeya,33.49,88,0,1.92,53.74
46,Verkhnyaya Inta,41.77,96,92,6.4,65.99
47,Sakaiminato,59.0,82,75,2.24,35.55
48,Saint-Jean-de-Maurienne,62.6,63,0,14.99,45.28
49,Gaspar,69.8,88,75,11.41,-26.93
50,Varhaug,44.6,87,75,5.82,58.61
51,Mount Gambier,49.51,76,92,6.29,-37.83
52,Nautla,81.1,100,32,11.21,20.22
53,Severnoye,54.1,49,92,10.42,54.09
54,Ulladulla,55.4,100,75,9.17,-35.36
55,Esna,52.12,59,0,9.42,45.2
56,Genhe,36.37,75,0,7.07,50.78
57,Prieska,54.82,22,0,12.77,-29.67
58,Huarmey,69.76,63,12,3.6,-10.07
59,Thompson,37.4,37,75,10.29,55.74
60,Twentynine Palms,93.92,25,20,5.82,34.14
61,Sorland,39.2,64,75,3.36,67.67
62,Tasiilaq,30.2,54,8,2.24,65.61
63,Port Hedland,73.4,64,0,6.93,-20.31
64,Kralendijk,86.0,70,20,17.22,12.15
65,Nassau,50.0,71,0,6.93,51.17
66,Suoyarvi,38.26,99,92,9.19,62.08
67,Rio Grande,62.6,55,20,6.93,-32.03
68,Lerik,64.4,100,40,2.93,38.78
69,Bria,64.45,91,0,2.82,6.54
70,Sile,77.0,49,75,4.7,35.56
71,Meulaboh,76.33,100,100,0.81,4.14
72,Alta Floresta,78.31,92,24,2.37,-9.87
73,Aripuana,84.61,72,12,2.59,-9.17
74,Yagodnoye,14.05,82,88,2.82,62.52
75,Kangaatsiaq,32.59,100,88,11.77,68.31
76,Saskylakh,26.47,90,76,9.64,71.97
77,Mehran,66.2,32,0,4.7,33.12
